checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,none,image_1.png,A person in a weekend market,89.232,1.0,0.4474,0.4635,0
sd15_only,sd15,none,image_1.png,A person in a police evidence room,89.232,1.0,0.4076,0.3857,0
sd15_only,sd15,75,image_1.png,A person in a weekend market,38.408,0.9634,0.4474,0.4508,0
sd15_only,sd15,75,image_1.png,A person in a police evidence room,38.408,0.9634,0.4076,0.4348,0
sd15_only,sd15,70,image_1.png,A person in a weekend market,37.81,0.959,0.4474,0.4447,0
sd15_only,sd15,70,image_1.png,A person in a police evidence room,37.81,0.959,0.4076,0.4204,0
sd15_only,sd15,none,image_3.png,A person in a weekend market,86.853,1.0,0.4461,0.4875,0
sd15_only,sd15,none,image_3.png,A person in a TV newsroom,86.853,1.0,0.3356,0.3584,0
sd15_only,sd15,75,image_3.png,A person in a weekend market,37.249,0.9599,0.4461,0.4373,0
sd15_only,sd15,75,image_3.png,A person in a TV newsroom,37.249,0.9599,0.3356,0.3589,0
sd15_only,sd15,70,image_3.png,A person in a weekend market,36.643,0.9545,0.4461,0.4172,0
sd15_only,sd15,70,image_3.png,A person in a TV newsroom,36.643,0.9545,0.3356,0.3396,0
sd15_only,sd15,none,image_5.png,A person in a church sanctuary,86.978,1.0,0.4457,0.4434,0
sd15_only,sd15,none,image_5.png,A person in a charity art auction,86.978,1.0,0.5788,0.5831,0
sd15_only,sd15,75,image_5.png,A person in a church sanctuary,37.806,0.9654,0.4457,0.3947,1
sd15_only,sd15,75,image_5.png,A person in a charity art auction,37.806,0.9654,0.5788,0.5405,0
sd15_only,sd15,70,image_5.png,A person in a church sanctuary,37.087,0.9606,0.4457,0.4591,0
sd15_only,sd15,70,image_5.png,A person in a charity art auction,37.087,0.9606,0.5788,0.6086,0
sd15_only,sd15,none,image_9.png,A person in a sports field,57.011,0.9996,0.3409,0.4428,0
sd15_only,sd15,none,image_9.png,A person in a waterside cafe,57.011,0.9996,0.467,0.4703,0
sd15_only,sd15,75,image_9.png,A person in a sports field,39.42,0.9719,0.3409,0.4662,0
sd15_only,sd15,75,image_9.png,A person in a waterside cafe,39.42,0.9719,0.467,0.4068,1
sd15_only,sd15,70,image_9.png,A person in a sports field,38.575,0.9674,0.3409,0.433,0
sd15_only,sd15,70,image_9.png,A person in a waterside cafe,38.575,0.9674,0.467,0.4417,0
sd15_only,sd15,none,image_13.png,A person in a drive-in theater,89.086,1.0,0.6543,0.6348,0
sd15_only,sd15,none,image_13.png,A person in a shelter,89.086,1.0,0.5082,0.6181,0
sd15_only,sd15,75,image_13.png,A person in a drive-in theater,38.48,0.9651,0.6543,0.5337,1
sd15_only,sd15,75,image_13.png,A person in a shelter,38.48,0.9651,0.5082,0.6917,0
sd15_only,sd15,70,image_13.png,A person in a drive-in theater,37.811,0.9611,0.6543,0.5558,1
sd15_only,sd15,70,image_13.png,A person in a shelter,37.811,0.9611,0.5082,0.6692,0
sd15_only,sd15,none,image_18.png,A person in a food truck park,87.81,1.0,0.7206,0.614,1
sd15_only,sd15,none,image_18.png,A person in a ice cream parlor,87.81,1.0,0.5755,0.6682,0
sd15_only,sd15,75,image_18.png,A person in a food truck park,38.419,0.9691,0.7206,0.6834,0
sd15_only,sd15,75,image_18.png,A person in a ice cream parlor,38.419,0.9691,0.5755,0.6461,0
sd15_only,sd15,70,image_18.png,A person in a food truck park,37.703,0.9652,0.7206,0.7102,0
sd15_only,sd15,70,image_18.png,A person in a ice cream parlor,37.703,0.9652,0.5755,0.6223,0
sd15_only,sd15,none,image_22.png,A person in a betting shop,61.366,0.9998,0.6318,0.6308,0
sd15_only,sd15,none,image_22.png,A person in a charity art auction,61.366,0.9998,0.5512,0.5893,0
sd15_only,sd15,75,image_22.png,A person in a betting shop,38.69,0.9647,0.6318,0.6321,0
sd15_only,sd15,75,image_22.png,A person in a charity art auction,38.69,0.9647,0.5512,0.639,0
sd15_only,sd15,70,image_22.png,A person in a betting shop,38.106,0.9606,0.6318,0.6678,0
sd15_only,sd15,70,image_22.png,A person in a charity art auction,38.106,0.9606,0.5512,0.6417,0
sd15_only,sd15,none,image_23.png,A person in a shelter,84.291,1.0,0.4556,0.5112,0
