image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_1.png,A person in a weekend market,no_overlap,34.62,0.9867,0.2116,0.2235,0
image_1.png,A person in a police evidence room,no_overlap,34.62,0.9867,0.2369,0.2106,0
image_1.png,A person in a weekend market,25pct_overlap,29.274,0.9721,0.2116,0.1986,0
image_1.png,A person in a police evidence room,25pct_overlap,29.274,0.9721,0.2369,0.1791,1
image_1.png,A person in a weekend market,50pct_overlap,27.944,0.9567,0.2116,0.1908,0
image_1.png,A person in a police evidence room,50pct_overlap,27.944,0.9567,0.2369,0.2036,0
image_1.png,A person in a weekend market,baseline_512,38.154,0.9931,0.2116,0.2075,0
image_1.png,A person in a police evidence room,baseline_512,38.154,0.9931,0.2369,0.2498,0
image_3.png,A person in a weekend market,no_overlap,27.417,0.9128,0.1947,0.1636,0
image_3.png,A person in a TV newsroom,no_overlap,27.417,0.9128,0.1945,0.1592,0
image_3.png,A person in a weekend market,25pct_overlap,28.515,0.9233,0.1947,0.1498,0
image_3.png,A person in a TV newsroom,25pct_overlap,28.515,0.9233,0.1945,0.1598,0
image_3.png,A person in a weekend market,50pct_overlap,28.338,0.914,0.1947,0.1811,0
image_3.png,A person in a TV newsroom,50pct_overlap,28.338,0.914,0.1945,0.1441,1
image_3.png,A person in a weekend market,baseline_512,35.213,0.9769,0.1947,0.1698,0
image_3.png,A person in a TV newsroom,baseline_512,35.213,0.9769,0.1945,0.2038,0
image_5.png,A person in a church sanctuary,no_overlap,33.297,0.9681,0.1705,0.1287,0
image_5.png,A person in a charity art auction,no_overlap,33.297,0.9681,0.151,0.2007,0
image_5.png,A person in a church sanctuary,25pct_overlap,30.342,0.9427,0.1705,0.1829,0
image_5.png,A person in a charity art auction,25pct_overlap,30.342,0.9427,0.151,0.2139,0
image_5.png,A person in a church sanctuary,50pct_overlap,30.235,0.9425,0.1705,0.1676,0
image_5.png,A person in a charity art auction,50pct_overlap,30.235,0.9425,0.151,0.1655,0
image_5.png,A person in a church sanctuary,baseline_512,36.225,0.9826,0.1705,0.1817,0
image_5.png,A person in a charity art auction,baseline_512,36.225,0.9826,0.151,0.15,0
image_9.png,A person in a sports field,no_overlap,33.395,0.9713,0.1327,0.1203,0
image_9.png,A person in a waterside cafe,no_overlap,33.395,0.9713,0.1819,0.1039,1
image_9.png,A person in a sports field,25pct_overlap,34.038,0.9752,0.1327,0.1283,0
image_9.png,A person in a waterside cafe,25pct_overlap,34.038,0.9752,0.1819,0.1321,0
image_9.png,A person in a sports field,50pct_overlap,33.66,0.9702,0.1327,0.1791,0
image_9.png,A person in a waterside cafe,50pct_overlap,33.66,0.9702,0.1819,0.1356,0
image_9.png,A person in a sports field,baseline_512,31.713,0.9657,0.1327,0.183,0
image_9.png,A person in a waterside cafe,baseline_512,31.713,0.9657,0.1819,0.1711,0
image_13.png,A person in a drive-in theater,no_overlap,30.631,0.9666,0.1426,0.1789,0
