checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
sd15_only,image_1.png,A person in a weekend market,0.3,38.154,35.896,0.9783,0.5636,0.5201,0.5553,0.5329,0,0,0
sd15_only,image_1.png,A person in a police evidence room,0.3,38.154,35.896,0.9783,0.538,0.5432,0.5246,0.5165,0,0,0
sd15_only,image_1.png,A person in a weekend market,0.5,38.154,23.656,0.6264,0.5636,0.5201,0.4606,0.4518,0,1,1
sd15_only,image_1.png,A person in a police evidence room,0.5,38.154,23.656,0.6264,0.538,0.5432,0.4545,0.4567,0,1,1
sd15_only,image_1.png,A person in a weekend market,0.7,38.154,23.631,0.6218,0.5636,0.5201,0.4458,0.4437,0,1,1
sd15_only,image_1.png,A person in a police evidence room,0.7,38.154,23.631,0.6218,0.538,0.5432,0.4578,0.4437,0,1,1
sd15_only,image_3.png,A person in a weekend market,0.3,35.213,33.111,0.9491,0.5043,0.4858,0.4843,0.4901,0,0,0
sd15_only,image_3.png,A person in a TV newsroom,0.3,35.213,33.111,0.9491,0.4915,0.4734,0.4922,0.4841,0,0,0
sd15_only,image_3.png,A person in a weekend market,0.5,35.213,22.238,0.6044,0.5043,0.4858,0.4071,0.4054,0,1,1
sd15_only,image_3.png,A person in a TV newsroom,0.5,35.213,22.238,0.6044,0.4915,0.4734,0.3995,0.396,0,1,1
sd15_only,image_3.png,A person in a weekend market,0.7,35.213,22.051,0.6114,0.5043,0.4858,0.3846,0.4056,0,1,1
sd15_only,image_3.png,A person in a TV newsroom,0.7,35.213,22.051,0.6114,0.4915,0.4734,0.4111,0.3869,0,1,1
sd15_only,image_5.png,A person in a church sanctuary,0.3,36.225,32.868,0.9563,0.7502,0.7562,0.7411,0.7441,0,0,0
sd15_only,image_5.png,A person in a charity art auction,0.3,36.225,32.868,0.9563,0.7509,0.7473,0.736,0.7614,0,0,0
