checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
h1a_no_jpeg,sd15,none,image_1.png,A person in a weekend market,29.939,0.9754,0.4294,0.4081,0
h1a_no_jpeg,sd15,none,image_1.png,A person in a police evidence room,29.939,0.9754,0.4407,0.4147,0
h1a_no_jpeg,sd15,75,image_1.png,A person in a weekend market,29.574,0.9439,0.4294,0.4167,0
h1a_no_jpeg,sd15,75,image_1.png,A person in a police evidence room,29.574,0.9439,0.4407,0.4185,0
h1a_no_jpeg,sd15,70,image_1.png,A person in a weekend market,29.494,0.9396,0.4294,0.4144,0
h1a_no_jpeg,sd15,70,image_1.png,A person in a police evidence room,29.494,0.9396,0.4407,0.4143,0
h1a_no_jpeg,sd15,none,image_3.png,A person in a weekend market,31.311,0.9511,0.4906,0.4669,0
h1a_no_jpeg,sd15,none,image_3.png,A person in a TV newsroom,31.311,0.9511,0.3849,0.3578,0
h1a_no_jpeg,sd15,75,image_3.png,A person in a weekend market,30.604,0.9219,0.4906,0.4707,0
h1a_no_jpeg,sd15,75,image_3.png,A person in a TV newsroom,30.604,0.9219,0.3849,0.3793,0
h1a_no_jpeg,sd15,70,image_3.png,A person in a weekend market,30.476,0.9175,0.4906,0.4715,0
h1a_no_jpeg,sd15,70,image_3.png,A person in a TV newsroom,30.476,0.9175,0.3849,0.3682,0
h1a_no_jpeg,sd15,none,image_5.png,A person in a church sanctuary,42.015,0.9907,0.4862,0.487,0
h1a_no_jpeg,sd15,none,image_5.png,A person in a charity art auction,42.015,0.9907,0.4669,0.4579,0
h1a_no_jpeg,sd15,75,image_5.png,A person in a church sanctuary,36.83,0.9599,0.4862,0.4944,0
h1a_no_jpeg,sd15,75,image_5.png,A person in a charity art auction,36.83,0.9599,0.4669,0.4616,0
h1a_no_jpeg,sd15,70,image_5.png,A person in a church sanctuary,36.243,0.9552,0.4862,0.4997,0
h1a_no_jpeg,sd15,70,image_5.png,A person in a charity art auction,36.243,0.9552,0.4669,0.47,0
h1a_no_jpeg,sd15,none,image_9.png,A person in a sports field,33.228,0.9803,0.4931,0.4768,0
h1a_no_jpeg,sd15,none,image_9.png,A person in a waterside cafe,33.228,0.9803,0.4848,0.4708,0
h1a_no_jpeg,sd15,75,image_9.png,A person in a sports field,32.598,0.9571,0.4931,0.4717,0
h1a_no_jpeg,sd15,75,image_9.png,A person in a waterside cafe,32.598,0.9571,0.4848,0.4702,0
h1a_no_jpeg,sd15,70,image_9.png,A person in a sports field,32.425,0.9527,0.4931,0.4715,0
h1a_no_jpeg,sd15,70,image_9.png,A person in a waterside cafe,32.425,0.9527,0.4848,0.477,0
h1a_no_jpeg,sd15,none,image_13.png,A person in a drive-in theater,39.797,0.9883,0.5916,0.5924,0
h1a_no_jpeg,sd15,none,image_13.png,A person in a shelter,39.797,0.9883,0.6221,0.6147,0
h1a_no_jpeg,sd15,75,image_13.png,A person in a drive-in theater,36.564,0.9572,0.5916,0.5974,0
h1a_no_jpeg,sd15,75,image_13.png,A person in a shelter,36.564,0.9572,0.6221,0.6213,0
h1a_no_jpeg,sd15,70,image_13.png,A person in a drive-in theater,36.118,0.9532,0.5916,0.5944,0
h1a_no_jpeg,sd15,70,image_13.png,A person in a shelter,36.118,0.9532,0.6221,0.6142,0
h1a_no_jpeg,sd15,none,image_18.png,A person in a food truck park,26.189,0.9596,0.5484,0.515,0
h1a_no_jpeg,sd15,none,image_18.png,A person in a ice cream parlor,26.189,0.9596,0.5659,0.5285,0
h1a_no_jpeg,sd15,75,image_18.png,A person in a food truck park,26.087,0.9343,0.5484,0.5404,0
h1a_no_jpeg,sd15,75,image_18.png,A person in a ice cream parlor,26.087,0.9343,0.5659,0.538,0
h1a_no_jpeg,sd15,70,image_18.png,A person in a food truck park,26.04,0.9309,0.5484,0.5483,0
h1a_no_jpeg,sd15,70,image_18.png,A person in a ice cream parlor,26.04,0.9309,0.5659,0.5418,0
h1a_no_jpeg,sd15,none,image_22.png,A person in a betting shop,26.942,0.9498,0.6406,0.5972,0
h1a_no_jpeg,sd15,none,image_22.png,A person in a charity art auction,26.942,0.9498,0.5833,0.521,1
h1a_no_jpeg,sd15,75,image_22.png,A person in a betting shop,26.735,0.9215,0.6406,0.5953,0
h1a_no_jpeg,sd15,75,image_22.png,A person in a charity art auction,26.735,0.9215,0.5833,0.5315,1
h1a_no_jpeg,sd15,70,image_22.png,A person in a betting shop,26.686,0.9174,0.6406,0.5982,0
h1a_no_jpeg,sd15,70,image_22.png,A person in a charity art auction,26.686,0.9174,0.5833,0.5323,1
h1a_no_jpeg,sd15,none,image_23.png,A person in a shelter,42.183,0.9911,0.4283,0.4271,0
h1a_no_jpeg,sd15,none,image_23.png,A person in a local art market,42.183,0.9911,0.5148,0.5079,0
h1a_no_jpeg,sd15,75,image_23.png,A person in a shelter,36.689,0.9508,0.4283,0.438,0
h1a_no_jpeg,sd15,75,image_23.png,A person in a local art market,36.689,0.9508,0.5148,0.5066,0
h1a_no_jpeg,sd15,70,image_23.png,A person in a shelter,36.22,0.946,0.4283,0.4375,0
h1a_no_jpeg,sd15,70,image_23.png,A person in a local art market,36.22,0.946,0.5148,0.5016,0
h1a_no_jpeg,sd15,none,image_29.png,A person in a historic landmark event,30.55,0.9703,0.711,0.679,0
